[Reaction removed]: (FP-rate, TP-rate) 
[                               FACOAL191] : (0.069925, 0.086957) 
[                                  CYTK1n] : (0.069925, 0.086957) 
[     3MOX4HOXPGALDOX_LPAREN_NADP_RPAREN_] : (0.069925, 0.086957) 
[                              FACOAL181i] : (0.069925, 0.086957) 
[                                    ALR3] : (0.069925, 0.086957) 
[                                    ALR2] : (0.069925, 0.086957) 
[                               CHSTEROLt] : (0.069925, 0.086957) 
[                                  UMPK5n] : (0.069925, 0.086957) 
[                              DOPAVESSEC] : (0.069925, 0.086957) 
[                                DHCR241r] : (0.069925, 0.086957) 
[                              FACOAL1821] : (0.069925, 0.086957) 
[                              FACOAL1822] : (0.069925, 0.086957) 
[                                  CYTK6n] : (0.069925, 0.086957) 
[                                   PIt2m] : (0.073999, 0.086957) 
[                               FACOAL161] : (0.069925, 0.086957) 
[                                   MI4PP] : (0.069925, 0.086957) 
[                                  LALDO2] : (0.069925, 0.086957) 
[                                    SLDx] : (0.069925, 0.086957) 
[                                 CYTK10n] : (0.069925, 0.086957) 
[                                    P5CR] : (0.069925, 0.086957) 
[                               ARACHCPT1] : (0.069925, 0.086957) 
[                                     NAt] : (0.069925, 0.086957) 
[                                 LCADi_D] : (0.069925, 0.086957) 
[                                  FATP6t] : (0.069925, 0.086957) 
[                           RTOTALCRNCPT1] : (0.069925, 0.086957) 
[                                   P5CRx] : (0.069925, 0.086957) 
[                                  DCYTDn] : (0.069925, 0.086957) 
[                              SO4OXAtex2] : (0.069925, 0.086957) 
[                                 ACOAD9m] : (0.069925, 0.086957) 
[                               FACOAL184] : (0.069925, 0.086957) 
[                                    GAPD] : (0.080109, 0.086957) 
[                                   UMPK2] : (0.069925, 0.086957) 
[                               P4508B11r] : (0.069925, 0.086957) 
[                             FAOXC16080x] : (0.069925, 0.086957) 
[                                VACCCPT1] : (0.069925, 0.086957) 
[                                     PCm] : (0.077393, 0.086957) 
[                          RTOTAL2CRNCPT1] : (0.069925, 0.086957) 
[                                 DAGK_hs] : (0.069925, 0.086957) 
[                                   GGT5r] : (0.069925, 0.086957) 
[                                   ASNS1] : (0.069925, 0.086957) 
[                                DHCR242r] : (0.069925, 0.086957) 
[                              FACOAL1812] : (0.069925, 0.086957) 
[                              FACOAL1813] : (0.069925, 0.086957) 
[                               CLFORtex2] : (0.069925, 0.086957) 
[          4HOXPACDOX_LPAREN_NADP_RPAREN_] : (0.069925, 0.086957) 
[                                  THYOXt] : (0.069925, 0.086957) 
[                              34DHPLACOX] : (0.069925, 0.086957) 
[                                  UMPK6n] : (0.069925, 0.086957) 
[                                   DCK1n] : (0.069925, 0.086957) 
[                                  CYTK11] : (0.069925, 0.086957) 
[                                   PTE3x] : (0.069925, 0.086957) 
[                                  VLCS2p] : (0.069925, 0.086957) 
[                              GABAVESSEC] : (0.069925, 0.086957) 
[                                  BUTt2m] : (0.069925, 0.086957) 
[                              LNLNCGCPT1] : (0.069925, 0.086957) 
[                               SO4CLtex2] : (0.069925, 0.086957) 
[                                  CYTK7n] : (0.069925, 0.086957) 
[                               FACOAL226] : (0.069925, 0.086957) 
[                                    NAIt] : (0.069925, 0.086957) 
[                                PYAM5POr] : (0.069925, 0.086957) 
[                                  GCCbim] : (0.069925, 0.086957) 
[                              STRDNCCPT1] : (0.069925, 0.086957) 
[                               FACOAL224] : (0.069925, 0.086957) 
[                             FACOAL244_1] : (0.069925, 0.086957) 
[                                  UMPK3n] : (0.069925, 0.086957) 
[                                   CYTK1] : (0.069925, 0.086957) 
[                                   CYTK2] : (0.069925, 0.086957) 
[                                   ARABR] : (0.069925, 0.086957) 
[                           FAOXC2252053x] : (0.069925, 0.086957) 
[                                   CYTK6] : (0.069925, 0.086957) 
[                            L_DASH_LACtm] : (0.069925, 0.086957) 
[                                   CYTK8] : (0.069925, 0.086957) 
[                                 ECOAH9m] : (0.069925, 0.086957) 
[                                ADRNCPT1] : (0.069925, 0.086957) 
[                          DEFAULT RECON1] : (0.069925, 0.086957) 
[                                  CYTK8n] : (0.069925, 0.086957) 
[                                 ECOAH1m] : (0.069925, 0.086957) 
[                                   CYTDn] : (0.069925, 0.086957) 
[                                    PDHm] : (0.076035, 0.086957) 
[                           FAOXC2452256x] : (0.069925, 0.086957) 
[                                   RDH2a] : (0.069925, 0.086957) 
[                                    ADAe] : (0.069925, 0.086957) 
[                            FAOXC200180x] : (0.069925, 0.086957) 
[                                  ICDHxm] : (0.069925, 0.086957) 
[                                   UMPKn] : (0.069925, 0.086957) 
[                                   LCADi] : (0.069925, 0.086957) 
[                                  OIVD1m] : (0.069925, 0.086957) 
[                                 ALDD19x] : (0.069925, 0.086957) 
[                           FAOXC2051843x] : (0.069925, 0.086957) 
[                              ACETONEt2m] : (0.073320, 0.086957) 
[                               ELAIDCPT1] : (0.069925, 0.086957) 
[                                 PI45P5P] : (0.069925, 0.086957) 
[                               FACOAL241] : (0.069925, 0.086957) 
[                                 ALCD2yf] : (0.069925, 0.086957) 
[                ALDD19x_LPAREN_P_RPAREN_] : (0.069925, 0.086957) 
[                                UGT1A5r2] : (0.069925, 0.086957) 
[                                  CYTK12] : (0.069925, 0.086957) 
[                                  CYTK13] : (0.069925, 0.086957) 
[                                  CYTK10] : (0.069925, 0.086957) 
[                               CLOXAtex2] : (0.069925, 0.086957) 
[                                PI345P5P] : (0.069925, 0.086957) 
[                                 UGT1A2r] : (0.069925, 0.086957) 
[                                  CYTK14] : (0.069925, 0.086957) 
[                            NRPPHRVESSEC] : (0.069925, 0.086957) 
[                              FACOAL160i] : (0.069925, 0.086957) 
[                                    2HBO] : (0.069925, 0.086957) 
[                                 GCC2bim] : (0.069925, 0.086957) 
[                             DCSPTN1CPT1] : (0.069925, 0.086957) 
[                              LNLNCACPT1] : (0.069925, 0.086957) 
[                                   GCCcm] : (0.069925, 0.086957) 
[                               FACOAL240] : (0.069925, 0.086957) 
[                               FAOXC180x] : (0.069925, 0.086957) 
[                                  CYTK9n] : (0.069925, 0.086957) 
[                               C161CPT12] : (0.069925, 0.086957) 
[                              FACOAL180i] : (0.069925, 0.086957) 
[                           FAOXC2442246x] : (0.069925, 0.086957) 
[                                  ALDD2y] : (0.069925, 0.086957) 
[                                  ALDD2x] : (0.069925, 0.086957) 
[                                   GLUNm] : (0.069246, 0.086957) 
[                                  UMPK4n] : (0.069925, 0.086957) 
[                            HPDCACRNCPT1] : (0.069925, 0.086957) 
[                                    UMPK] : (0.069925, 0.086957) 
[                                 AMETt2m] : (0.070604, 0.086957) 
[                                 DALAOXx] : (0.069925, 0.086957) 
[                DOPAt4_LPAREN_2_RPAREN_r] : (0.069925, 0.086957) 
[                                  GCALDD] : (0.069925, 0.086957) 
[                                   MI3PP] : (0.069925, 0.086957) 
[                              LNELDCCPT1] : (0.069925, 0.086957) 
[                                CLOHtex2] : (0.069925, 0.086957) 
[                            FAOXC240200x] : (0.069925, 0.086957) 
[                                 UGT1A5r] : (0.069925, 0.086957) 
[                                    FTCD] : (0.069925, 0.086957) 
[                                  PYRt2r] : (0.078072, 0.086957) 
[                                   ACONT] : (0.069925, 0.086957) 
[                            FAOXC241181x] : (0.069925, 0.086957) 
[              NRPPHRt4_LPAREN_2_RPAREN_r] : (0.069925, 0.086957) 
[                                  GCC2cm] : (0.069925, 0.086957) 
[                                   LDH_L] : (0.063136, 0.043478) 
[                                   UMPK3] : (0.069925, 0.086957) 
[                                ECOAH12m] : (0.069925, 0.086957) 
[                              CLHCO3tex2] : (0.069925, 0.086957) 
[                                 BILIRED] : (0.069925, 0.086957) 
[                           L_DASH_LACt2r] : (0.069925, 0.086957) 
[                                  FATP9t] : (0.069925, 0.086957) 
[       34DHXMANDACOX_LPAREN_NADP_RPAREN_] : (0.069925, 0.086957) 
[                                     ETF] : (0.099796, 0.130435) 
[                                 PSDm_hs] : (0.069925, 0.086957) 
[                                    CHAT] : (0.069925, 0.086957) 
[                                 TTDCPT1] : (0.069925, 0.086957) 
[                                   DCYTD] : (0.069925, 0.086957) 
[                                C160CPT1] : (0.069925, 0.086957) 
[                                C204CPT1] : (0.069925, 0.086957) 
[                                 CYTK11n] : (0.069925, 0.086957) 
[                                   CYTK5] : (0.069925, 0.086957) 
[                                     MDH] : (0.069246, 0.086957) 
[                                  GLUCYS] : (0.069925, 0.086957) 
[                                C180CPT1] : (0.069925, 0.086957) 
[                                   CHATn] : (0.069925, 0.086957) 
[                                   CTPS1] : (0.069925, 0.086957) 
[                                     GBA] : (0.069925, 0.086957) 
[                                   CYTK7] : (0.069925, 0.086957) 
[                                  MACOXO] : (0.069925, 0.086957) 
[                                   CAt7r] : (0.069925, 0.086957) 
[                              FACOAL2252] : (0.069925, 0.086957) 
[                            FAOXC260240x] : (0.069925, 0.086957) 
[                           34DHXMANDACOX] : (0.069925, 0.086957) 
[                                   MI1PP] : (0.069925, 0.086957) 
[                                   CYTK9] : (0.069925, 0.086957) 
[                                    SBTR] : (0.075356, 0.130435) 
[                              FACOAL204i] : (0.069925, 0.086957) 
[                               P4508B13r] : (0.069925, 0.086957) 
[                                  CYTK2n] : (0.069925, 0.086957) 
[                         3MOX4HOXPGALDOX] : (0.069925, 0.086957) 
[                                   PPCDC] : (0.069925, 0.086957) 
